,country,area,size,date,price
25,Indonesia,ACEH,100-109.9 pcs/kg,2020-01-06,46000.0
26,Indonesia,ACEH,100-109.9 pcs/kg,2020-01-13,46000.0
27,Indonesia,ACEH,100-109.9 pcs/kg,2020-01-20,44000.0
28,Indonesia,ACEH,100-109.9 pcs/kg,2020-01-27,43000.0
29,Indonesia,ACEH,100-109.9 pcs/kg,2020-02-03,43000.0
30,Indonesia,ACEH,100-109.9 pcs/kg,2020-02-10,43000.0
31,Indonesia,ACEH,100-109.9 pcs/kg,2020-02-17,43000.0
32,Indonesia,ACEH,100-109.9 pcs/kg,2020-02-24,43000.0
33,Indonesia,ACEH,100-109.9 pcs/kg,2020-03-02,45000.0
34,Indonesia,ACEH,100-109.9 pcs/kg,2020-03-09,45000.0
35,Indonesia,ACEH,100-109.9 pcs/kg,2020-03-16,45000.0
36,Indonesia,ACEH,100-109.9 pcs/kg,2020-03-23,42000.0
37,Indonesia,ACEH,100-109.9 pcs/kg,2020-03-30,42000.0
38,Indonesia,ACEH,100-109.9 pcs/kg,2020-04-06,41000.0
39,Indonesia,ACEH,100-109.9 pcs/kg,2020-04-13,42000.0
40,Indonesia,ACEH,100-109.9 pcs/kg,2020-04-20,43000.0
41,Indonesia,ACEH,100-109.9 pcs/kg,2020-04-27,45000.0
42,Indonesia,ACEH,100-109.9 pcs/kg,2020-05-04,46000.0
43,Indonesia,ACEH,100-109.9 pcs/kg,2020-05-11,46000.0
44,Indonesia,ACEH,100-109.9 pcs/kg,2020-05-18,48000.0
45,Indonesia,ACEH,100-109.9 pcs/kg,2020-05-25,49000.0
46,Indonesia,ACEH,100-109.9 pcs/kg,2020-06-01,49000.0
47,Indonesia,ACEH,100-109.9 pcs/kg,2020-06-08,49000.0
48,Indonesia,ACEH,100-109.9 pcs/kg,2020-06-15,49000.0
49,Indonesia,ACEH,100-109.9 pcs/kg,2020-06-22,49000.0
50,Indonesia,ACEH,100-109.9 pcs/kg,2020-06-29,49000.0
51,Indonesia,ACEH,100-109.9 pcs/kg,2020-07-06,49000.0
52,Indonesia,ACEH,100-109.9 pcs/kg,2020-07-13,49000.0
53,Indonesia,ACEH,100-109.9 pcs/kg,2020-07-20,49000.0
54,Indonesia,ACEH,100-109.9 pcs/kg,2020-07-27,49000.0
55,Indonesia,ACEH,100-109.9 pcs/kg,2020-08-03,49000.0
56,Indonesia,ACEH,100-109.9 pcs/kg,2020-08-10,52000.0
57,Indonesia,ACEH,100-109.9 pcs/kg,2020-08-17,52000.0
58,Indonesia,ACEH,100-109.9 pcs/kg,2020-08-24,52000.0
59,Indonesia,ACEH,100-109.9 pcs/kg,2020-08-31,52000.0
60,Indonesia,ACEH,100-109.9 pcs/kg,2020-09-07,52000.0
61,Indonesia,ACEH,100-109.9 pcs/kg,2020-09-14,52000.0
62,Indonesia,ACEH,100-109.9 pcs/kg,2020-09-21,52000.0
63,Indonesia,ACEH,100-109.9 pcs/kg,2020-09-28,52000.0
64,Indonesia,ACEH,100-109.9 pcs/kg,2020-10-05,51000.0
65,Indonesia,ACEH,100-109.9 pcs/kg,2020-10-12,51000.0
66,Indonesia,ACEH,100-109.9 pcs/kg,2020-10-19,49000.0
67,Indonesia,ACEH,100-109.9 pcs/kg,2020-10-26,49000.0
68,Indonesia,ACEH,100-109.9 pcs/kg,2020-11-02,50500.0
69,Indonesia,ACEH,100-109.9 pcs/kg,2020-11-09,45000.0
70,Indonesia,ACEH,100-109.9 pcs/kg,2020-11-16,45000.0
71,Indonesia,ACEH,100-109.9 pcs/kg,2020-11-23,45000.0
72,Indonesia,ACEH,100-109.9 pcs/kg,2020-11-30,47000.0
73,Indonesia,ACEH,100-109.9 pcs/kg,2020-12-07,47000.0
74,Indonesia,ACEH,100-109.9 pcs/kg,2020-12-14,47000.0
75,Indonesia,ACEH,100-109.9 pcs/kg,2020-12-21,45000.0
76,Indonesia,ACEH,100-109.9 pcs/kg,2020-12-28,45000.0
77,Indonesia,ACEH,100-109.9 pcs/kg,2021-01-04,45000.0
78,Indonesia,ACEH,100-109.9 pcs/kg,2021-01-11,46000.0
79,Indonesia,ACEH,100-109.9 pcs/kg,2021-01-18,46000.0
80,Indonesia,ACEH,100-109.9 pcs/kg,2021-01-25,46000.0
81,Indonesia,ACEH,100-109.9 pcs/kg,2021-02-01,46000.0
82,Indonesia,ACEH,100-109.9 pcs/kg,2021-02-08,46000.0
83,Indonesia,ACEH,100-109.9 pcs/kg,2021-02-15,46000.0
84,Indonesia,ACEH,100-109.9 pcs/kg,2021-02-22,46000.0
85,Indonesia,ACEH,100-109.9 pcs/kg,2021-03-01,46000.0
86,Indonesia,ACEH,100-109.9 pcs/kg,2021-03-08,46000.0
87,Indonesia,ACEH,100-109.9 pcs/kg,2021-03-15,46000.0
88,Indonesia,ACEH,100-109.9 pcs/kg,2021-03-22,46000.0
89,Indonesia,ACEH,100-109.9 pcs/kg,2021-03-29,46000.0
90,Indonesia,ACEH,100-109.9 pcs/kg,2021-04-05,47000.0
91,Indonesia,ACEH,100-109.9 pcs/kg,2021-04-12,47000.0
92,Indonesia,ACEH,100-109.9 pcs/kg,2021-04-19,47000.0
93,Indonesia,ACEH,100-109.9 pcs/kg,2021-04-26,47000.0
94,Indonesia,ACEH,100-109.9 pcs/kg,2021-05-03,47000.0
95,Indonesia,ACEH,100-109.9 pcs/kg,2021-05-10,47000.0
96,Indonesia,ACEH,100-109.9 pcs/kg,2021-05-17,47000.0
97,Indonesia,ACEH,100-109.9 pcs/kg,2021-05-24,47000.0
98,Indonesia,ACEH,100-109.9 pcs/kg,2021-05-31,47000.0
99,Indonesia,ACEH,100-109.9 pcs/kg,2021-06-07,47000.0
100,Indonesia,ACEH,100-109.9 pcs/kg,2021-06-14,47000.0
101,Indonesia,ACEH,100-109.9 pcs/kg,2021-06-21,47000.0
102,Indonesia,ACEH,100-109.9 pcs/kg,2021-06-28,47000.0
103,Indonesia,ACEH,100-109.9 pcs/kg,2021-07-05,47000.0
104,Indonesia,ACEH,100-109.9 pcs/kg,2021-07-12,47000.0
105,Indonesia,ACEH,100-109.9 pcs/kg,2021-07-19,44500.0
106,Indonesia,ACEH,100-109.9 pcs/kg,2021-07-26,42000.0
107,Indonesia,ACEH,100-109.9 pcs/kg,2021-08-02,42000.0
108,Indonesia,ACEH,100-109.9 pcs/kg,2021-08-09,42000.0
109,Indonesia,ACEH,100-109.9 pcs/kg,2021-08-16,42000.0
110,Indonesia,ACEH,100-109.9 pcs/kg,2021-08-23,40500.0
111,Indonesia,ACEH,100-109.9 pcs/kg,2021-08-30,40500.0
112,Indonesia,ACEH,100-109.9 pcs/kg,2021-09-06,40500.0
113,Indonesia,ACEH,100-109.9 pcs/kg,2021-09-13,40500.0
114,Indonesia,ACEH,100-109.9 pcs/kg,2021-09-20,40500.0
115,Indonesia,ACEH,100-109.9 pcs/kg,2021-09-27,40000.0
116,Indonesia,ACEH,100-109.9 pcs/kg,2021-10-04,40000.0
117,Indonesia,ACEH,100-109.9 pcs/kg,2021-10-11,38000.0
118,Indonesia,ACEH,100-109.9 pcs/kg,2021-10-18,38000.0
