,date,country,area,size,price_origin,price_usd
0,2011-01-03,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.25,3.25
1,2011-01-03,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
2,2011-01-03,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.2,7.2
3,2011-01-03,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.85,4.85
4,2011-01-03,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
5,2011-01-03,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.05,4.05
6,2011-01-03,ECUADOR,ECUADOR,70-79.9 pcs/kg,3.85,3.85
7,2011-01-03,ECUADOR,ECUADOR,80-89.9 pcs/kg,3.6,3.6
8,2011-01-10,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.25,3.25
9,2011-01-10,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
10,2011-01-10,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.2,7.2
11,2011-01-10,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.85,4.85
12,2011-01-10,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
13,2011-01-10,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.05,4.05
14,2011-01-10,ECUADOR,ECUADOR,70-79.9 pcs/kg,3.85,3.85
15,2011-01-10,ECUADOR,ECUADOR,80-89.9 pcs/kg,3.6,3.6
16,2011-01-17,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.25,3.25
17,2011-01-17,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
18,2011-01-17,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.2,7.2
19,2011-01-17,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.85,4.85
20,2011-01-17,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
21,2011-01-17,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.05,4.05
22,2011-01-17,ECUADOR,ECUADOR,70-79.9 pcs/kg,3.85,3.85
23,2011-01-17,ECUADOR,ECUADOR,80-89.9 pcs/kg,3.6,3.6
24,2011-01-24,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.25,3.25
25,2011-01-24,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
26,2011-01-24,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.2,7.2
27,2011-01-24,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.85,4.85
28,2011-01-24,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
29,2011-01-24,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.05,4.05
30,2011-01-24,ECUADOR,ECUADOR,70-79.9 pcs/kg,3.85,3.85
31,2011-01-24,ECUADOR,ECUADOR,80-89.9 pcs/kg,3.6,3.6
32,2011-01-31,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.25,3.25
33,2011-01-31,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
34,2011-01-31,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.2,7.2
35,2011-01-31,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.85,4.85
36,2011-01-31,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
37,2011-01-31,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.05,4.05
38,2011-01-31,ECUADOR,ECUADOR,70-79.9 pcs/kg,3.85,3.85
39,2011-01-31,ECUADOR,ECUADOR,80-89.9 pcs/kg,3.6,3.6
40,2011-02-07,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.54,3.54
41,2011-02-07,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
42,2011-02-07,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.15,7.15
43,2011-02-07,ECUADOR,ECUADOR,40-49.9 pcs/kg,5.15,5.15
44,2011-02-07,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.83,4.83
45,2011-02-07,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.49,4.49
46,2011-02-07,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.28,4.28
47,2011-02-07,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.13,4.13
48,2011-02-14,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.54,3.54
49,2011-02-14,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
50,2011-02-14,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.15,7.15
51,2011-02-14,ECUADOR,ECUADOR,40-49.9 pcs/kg,5.15,5.15
52,2011-02-14,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.83,4.83
53,2011-02-14,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.49,4.49
54,2011-02-14,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.28,4.28
55,2011-02-14,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.13,4.13
56,2011-02-21,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.54,3.54
57,2011-02-21,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
58,2011-02-21,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.15,7.15
59,2011-02-21,ECUADOR,ECUADOR,40-49.9 pcs/kg,5.15,5.15
60,2011-02-21,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.83,4.83
61,2011-02-21,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.49,4.49
62,2011-02-21,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.28,4.28
63,2011-02-21,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.13,4.13
64,2011-02-28,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.54,3.54
65,2011-02-28,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
66,2011-02-28,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.15,7.15
67,2011-02-28,ECUADOR,ECUADOR,40-49.9 pcs/kg,5.15,5.15
68,2011-02-28,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.83,4.83
69,2011-02-28,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.49,4.49
70,2011-02-28,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.28,4.28
71,2011-02-28,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.13,4.13
72,2011-03-07,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.54,3.54
73,2011-03-07,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
74,2011-03-07,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.15,7.15
75,2011-03-07,ECUADOR,ECUADOR,40-49.9 pcs/kg,5.15,5.15
76,2011-03-07,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.83,4.83
77,2011-03-07,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.49,4.49
78,2011-03-07,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.28,4.28
79,2011-03-07,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.13,4.13
80,2011-03-14,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.54,3.54
81,2011-03-14,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
82,2011-03-14,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.15,7.15
83,2011-03-14,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.7,4.7
84,2011-03-14,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.55,4.55
85,2011-03-14,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.45,4.45
86,2011-03-14,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.3,4.3
87,2011-03-14,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.15,4.15
88,2011-03-21,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.54,3.54
89,2011-03-21,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
90,2011-03-21,ECUADOR,ECUADOR,30-39.9 pcs/kg,7.15,7.15
91,2011-03-21,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.7,4.7
92,2011-03-21,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.55,4.55
93,2011-03-21,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.45,4.45
94,2011-03-21,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.3,4.3
95,2011-03-21,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.15,4.15
96,2011-03-28,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.6,3.6
97,2011-03-28,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
98,2011-03-28,ECUADOR,ECUADOR,30-39.9 pcs/kg,6.4,6.4
99,2011-03-28,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.6,4.6
100,2011-03-28,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
101,2011-03-28,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.4,4.4
102,2011-03-28,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.3,4.3
103,2011-03-28,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.2,4.2
104,2011-04-04,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.6,3.6
105,2011-04-04,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
106,2011-04-04,ECUADOR,ECUADOR,30-39.9 pcs/kg,6.4,6.4
107,2011-04-04,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.6,4.6
108,2011-04-04,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
109,2011-04-04,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.4,4.4
110,2011-04-04,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.3,4.3
111,2011-04-04,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.2,4.2
112,2011-04-11,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.5,3.5
113,2011-04-11,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
114,2011-04-11,ECUADOR,ECUADOR,30-39.9 pcs/kg,6.4,6.4
115,2011-04-11,ECUADOR,ECUADOR,40-49.9 pcs/kg,4.55,4.55
116,2011-04-11,ECUADOR,ECUADOR,50-59.9 pcs/kg,4.5,4.5
117,2011-04-11,ECUADOR,ECUADOR,60-69.9 pcs/kg,4.45,4.45
118,2011-04-11,ECUADOR,ECUADOR,70-79.9 pcs/kg,4.3,4.3
119,2011-04-11,ECUADOR,ECUADOR,80-89.9 pcs/kg,4.2,4.2
120,2011-04-18,ECUADOR,ECUADOR,100-109.9 pcs/kg,3.5,3.5
121,2011-04-18,ECUADOR,ECUADOR,20-29.9 pcs/kg,8.7,8.7
122,2011-04-18,ECUADOR,ECUADOR,30-39.9 pcs/kg,6.4,6.4
